Input,Sentiment
I trust my fellow employees I work with.,Positive
"Overall it's good to work around here, everyone cares about patient care.",Positive
I’m proud of the outcomes we have.,Positive
We show respect and trust to one another.,Positive
I've never felt it was a bad work environment with my peers.,Positive
"I feel like the nurses that I work with, we’ve worked together a long time. We work well together.",Positive
One of our strongest assets is that we are a tight knit group. We have a small team and so everyone knows each other well.,Positive
"There’s a lot of team work, especially amongst the staff. Overall for day shift and night shift there is teamwork. Everyone here will help you if you asked.",Positive
"On days, we are like a family, it’s a well run machine.",Positive
It’s a great unit. There’s some people with great knowledge. When stuff goes wrong everyone works together. It’s not all horrible. The patients get really good care.,Positive
Adam is making positive change,Positive
I don”t have a lack of trust.,Positive
I have a good relationship with both Tanya and Adam.,Positive
I love my managers. They get a 10/10. They have flexibility and communication.,Positive
My contract was only going to be for 4 weeks and I’ve stayed because of Tanya.,Positive
For the most part we get along well with Tanya and Adam.,Positive
They are helpful. I usually don’t have managers volunteering to come in.,Positive
I don’t see a traveler vs. non traveler divide.,Positive
For the most part the relationship between nurses and travel nurses is good.,Positive
I think the staff and traveler nurses get along really well.,Positive
"When they show they can do the job and are willing, they are totally accepted.",Positive
In general we all get along well. We appreciate them.,Positive
"If a traveler is showing up and doing their job, I think staff nurses are appreciative.",Positive
For the most part the relationship between nurses and travel nurses is good.,Positive
The staff nurse does take good care of the travelers.,Positive
We’ve had some really great travelers.,Positive
I think most of the travel nurses are competent.,Positive
We have a lot to learn from one another.,Positive
Most of the travelers that we work with have been amazing.  They bring in perspectives from other organizations.,Positive
When we need the help and they are willing to be helpful. The staff is very receptive and appreciative and work well with those travelers.,Positive
We learn alot from the travelers. It's a good symbiotic relationship. They’re hard workers lots of times. They bring in their experience from other facilities.,Positive
The nurses know what they are doing.,Positive
They are incredibly strong nurses. I am proud of the work they do.,Positive
I think the nurses are very good nurses. They have good clinical skills.,Positive
"The staff nurses are very clinically strong, they care deeply and are bright and skilled at their jobs. I trust them.",Positive
"The nurses here are fantastic, wonderful. The patients that come here are really lucky, we give really good care.",Positive
I am optimistic about the way things are going now.,Positive
Since Adam started it has been better. He does try to get our input and listen to us and put our needs first.,Positive
"Adam has been asking our opinions and he will bring us aside and get our thoughts. Or he will ask, “how does this work here?”",Positive
In the last couple of months they have been trying to bring us in. Tanya invited me to a meeting last week. That's a step in the right direction.,Positive
During negotiations you can tell the nurses were stressed. It affected the way we were communicating.,Negative
I think a lot of the disgruntled nurses come from the fact that there is no union contract. Nurses don’t feel valued.,Negative
The contract with the union is a huge issue and the honesty from management is the root of a lot of our problems.,Negative
There’s been multiple years of negotiation while still being asked to show up and do your job everyday and then the pandemic. Now you have a group of nurses who are working really hard and feeling how they were feeling with the negotiations and now we are put into these conditions where everyone feels uncertain.,Negative
I think the mistrust comes from the lack of union contract. It’s not from management. There's a lack of transparency from the administrative level.,Negative
I feel like between management and the staff there is poor communication.,Negative
Passing along important information about changes has not been effective or not communicated at all.,Negative
"In 2019 they came up with the idea of keeping neonates longer. They did this whole fundraiser saying we will be a level 2 nursery, but they didn’t ask our opinion at all. None of us have had the training to keep babies.",Negative
I don’t feel like I've gotten clear direction until I was in my performance review.,Negative
Communication between management and nurses and then between travelers is our biggest issue.,Negative
"They change the way we were doing things in the OR when we were doing C-sections. They didn’t communicate this to me and I was in a c-section and the tech was saying, “no we aren’t doing that,” and I had to run and grab a sterile drape to catch the baby. It creates dangerous situations when things aren’t relayed to us.",Negative
They could bring the nurses in when it comes to things like visitor policies - there was no representation of the floor nurses in those decisions.,Negative
We’ve had issues with the lab and pharmacy.  We rely on other departments to get things to us quickly. Pharmacy got all twisted about that (mixing a pharmacy bag) shouldn't have been an issue.,Negative
Lab has a different computer system than we do. We can’t see if something is ordered.,Negative
"Lab, there is some weird thing, the charting system we use doesn't interface so they don’t get a lot of the stuff we need. EPIC was supposed to solve that but it didn't.",Negative
The lab is my biggest complaint.,Negative
"I drew the labs and walked in and all the lights were off in the lab. I’m screaming hello is anyone here and got nothing. I started opening random doors and then the guy comes out with the blanket over his head like I was bothering him. And he said, “I don't know how to work this system and this person has to do it, I’m just here.”",Negative
"Lab and labor and delivery have had a very tense relationship. There will be things we send down and I’ll have it ordered and they won’t run it. I’ll have something ordered and they won’t draw it because the doctor didn’t sign it, but they won’t tell us why they didn't draw it. Then you have to call them and ask what happened. They could call me and said what they needed and I could get that done. They try to avoid us at all times when we could work together to make it easier.",Negative
Lab is bad. There are 2-3 that make it bad for the rest of us. They won’t call and talk to nurses. This has been going on for years.,Negative
Pediatricians and OB’s are not working together. So that's a real gap. They should work together more to identify moms that really shouldn't deliver here if they have a choice.,Negative
Pediatricians and OB need to come together to say whether or not we are willing to accept this risk.,Negative
There's a lot of tension between OB and OR. Nurses from those dept constantly but heads.,Negative
There are complaints from the surgery department and every department that OB is difficult to work with.,Negative
There could be more collaboration between the obstetricians and pediatricians around high risk patients and if it’s appropropriate for them to deliver here.,Negative
"I had to take care of the baby and we didn’t have the nursery set up appropriately. Had we been more involved, we could have provided better care. We could use some collaboration on OB, Peds and nursing in determining appropriate care. We need to assess whether certain patients should deliver.",Negative
There could be more clarity in the interview process for travelers that you are going to have to take babies at some point.,Negative
"Staff nurses say travelers need to not be rejected assignments, but it’s more about the interview and being more clear and getting people with nursery experience.",Negative
"The crisis nurses are hired and they aren’t interviewed and they tend to be the least flexible. We can specify what we want, but sometimes the recruiters are not honest. That leads to flexibility.",Negative
"A lot of the traveling nurses are refusing to take care of babies, I'm not sure how the hiring goes and it feels like expectations aren't set with what they will be doing. They need to know what is expected of them.",Negative
We have a nursery and when Tanya interviewed me she didn’t say anything about nursery expectations. To protect my license I can’t take on nursery outside of my competencies because I can be held personally accountable whereas the staff nurses are covered by the hospital.,Negative
I don’t expect full closed mindedness from the top. A little curiosity would go a long way.,Negative
The nurses should be included in decisions because we are the ones taking care of the patients.,Negative
The nurses don’t feel like anyone is listening to them or that their concerns are being addressed.,Negative
April is stressed out at night. She is by herself with all these travelers and they don’t get any training. I don’t think April feels supported.,Negative
It seems as though our manager doesn’t ask our opinion on things. We aren’t brought in on decisions that are made.,Negative
We just want to feel supported and want to change things when we have concerns as opposed to brushing it off like it doesn’t mean anything. She doesn’t bring us into the equation of anything that’s changing or anything thats new. It feels like we are disrespected in that regard.,Negative
"The problem I've seen is that when things are brought up by staff, especially concerning travelers, they need to be listened to a lot sooner before things get worse. It’s not that we are picking on the travelers.",Negative
I get scared about babies. We don’t really have resources for sick babies. We don’t know this stuff and we are waiting hours until we can transfer the baby.,Negative
The CNO and Clint they don’t care. They say one thing and do another. They say they want to be supportive and turn around and don’t.,Negative
"People just need to communicate more, if they have things that are upsetting them, maybe bring it to the whole group. Maybe there’s a way to even write on a piece of paper, put it in a bag, and everyone talks about these things that people are having grievances about.",Negative
"We don’t like when upper admin, like Clint or Julie come into our department. It's uncomfortable because we don't have any trust in them, because of this whole union thing we don’t feel respected. We wish they would stay away and we feel like they are pretending to care.",Negative
"Some of the more veteran nurses think, “this is how I’ve always done it.”",Negative
People aren’t open to change. It's difficult to be nimble.,Negative
They [the day nurses] weren’t welcoming with Adam. I don’t feel they are willing to change or hear what he is trying to say.,Negative
